0	0	0	0
0.439832	0.381582	-0.866266	-50.3193
-0.418486	1.49361	1.16091	0.0279095
6.55197	-1.97099	-2.21685	0.953326
-0.525249	0.808179	2.2735	-1.78455
-1.07389	-0.613916	-2.1044	0.631068
0.666678	4.48577	-2.5192	-0.341668
0.772958	-0.710562	-1.45734	0.18766
0.0508142	7.50788	-4.60373	0.955275
-0.172163	-2.06131	-7.96733	1.25785
-0.328794	0.543516	-0.493598	-0.825916
-0.273425	0.368003	-0.667604	0.482209
-2.16144	1.21562	3.62826	1.79817
0.389367	0.405934	0.494158	0.747169
-0.171272	-0.883197	-0.452626	-1.25928
1.12665	0.998717	1.18974	-0.890025
-0.607066	-1.36513	-0.757905	-0.0512522
-0.76513	-0.226483	-0.656758	-0.164126
0.734791	-7.51214	-6.68708	-11.7029
-0.0953801	-0.515292	0.141665	-0.12192
-0.213252	-0.679879	1.42064	2.52881
0.0960637	-1.53706	1.96022	1.10669
-0.138583	-0.0167805	-2.42034	1.53539
-1.16632	-0.0752462	-0.189838	-0.0696131
0.61892	0.548695	0.812474	3.8594
-0.0199807	-0.295141	0.568669	1.07161
-0.0117508	-1.52084	-1.88537	-0.668831
-0.282573	1.43429	-0.255075	-0.551089
-0.068373	12.9558	-1.01884	0.285047
-0.371941	-0.43306	-1.29567	-2.96755
-0.335667	-1.41268	-0.623779	0.828541
-1.15965	-0.544076	0.211096	-1.31613
5.76452	2.5808	0.13854	0.536848
0.732474	0.454402	0.321544	0.846698
0.117738	-1.36195	6.82507	-1.25829
0.482832	0.450707	-0.00667254	0.721071
-1.57184	1.26981	0.705855	1.8629
0.360498	-1.97292	-1.38356	3.21691
-2.06471	4.85983	1.52781	-1.42061
-1.3118	17.3511	0.954173	0.910198
-20.6434	1.91112	0.218342	0.038487
53.6994	0.130168	0.136368	1.32392
-0.480811	-0.990103	1.48902	141.997
-0.231279	-0.086903	0.659341	2.24824
-1.67096	-5.44241	14.6749	1.19159
1.32772	1.20481	-0.198878	1.11274
0.0628805	-0.0809981	-6.12583	-1.80342
-2.85835	-1.49854	0.788305	-1.00398
0.648529	-0.490239	-0.415112	1.62698
0.881491	0.154094	-0.295094	2.78746
8.92543	0.385791	0.26467	-0.32798
0.130795	1.62256	-0.0226725	-0.505888
0.0694928	2.06456	-4.18665	-0.542822
-0.19905	-0.834962	7.75175	0.932482
-4.20601	-2.78904	0.131471	-2.32522
-0.271663	0.199457	-1.24778	1.34526
1.45966	0.0885752	2.26991	-0.209101
0.175799	1.88374	-3.57662	-9.80486
-1.15325	0.233414	0.0794857	0.0282479
0.193026	0.776162	1.21376	0.476131
0.164204	-0.487954	-50.1461	-0.393168
